Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
37141.7,168.18,-2.27133,-3.219726,-1.42316,0.099428,-4.583523,7.831693,2.764297,0.033454,-0.042346,2.348636,-2.93596,-5.385865,-1.801723,-0.015255,-3.485596,2.82353,4.132917,-0.847269,-1.261919,-1.559626,1.174908,1.216837,-1.505783,5.618876,5.404308,3.23414,-1.795081,-3.54758,0
20347.39,152.05,2.382196,1.72082,-1.382286,1.04214,-5.194128,-0.967221,3.733798,-1.603039,1.153327,-1.285637,1.423108,-3.455634,-1.084077,0.382967,-2.637654,1.491803,8.566921,-4.592661,-0.365418,1.480569,4.608606,0.224179,-0.119173,2.14349,7.918341,-2.279063,0.034715,0.470756,0
14775.87,29.85,-9.839148,-0.790263,2.344419,1.246263,2.509426,-2.672007,3.736141,0.277843,0.272851,-1.419423,-4.852618,1.621412,-1.781404,-2.750262,-5.176787,-2.037655,0.896057,0.894225,-1.092702,0.820073,3.074136,-0.248097,0.228022,-0.557275,5.233016,0.813633,2.091197,-1.241236,0
153792.92,23.55,-3.724925,3.074853,0.056824,0.166586,-3.599308,4.574065,-5.370698,0.745461,-1.594953,-0.081168,-2.308184,-5.259039,3.146624,-1.556398,2.73049,2.631838,2.685291,-0.705404,-1.056638,1.145814,-1.784121,0.625623,1.303175,-2.957892,0.385181,-0.361649,1.728378,1.686346,0
17989.96,107.55,-3.592085,1.385367,-0.037851,-1.636828,0.429227,1.32729,-8.684064,-1.23967,-3.915495,-0.416368,-1.620904,0.301378,1.110641,1.788473,-3.017422,-4.774851,6.260498,1.433939,0.555172,0.664656,3.363365,-2.846374,0.091846,-4.020183,-0.706285,1.483511,0.688979,-0.041014,0
53865.57,164.69,-2.970466,0.860837,-0.137389,0.530394,3.345681,-1.107198,-5.383779,1.38809,-3.868352,-0.172197,-1.02418,2.892312,2.125377,0.564033,2.256563,-3.505203,6.070209,3.639483,1.154356,5.032288,4.130517,1.764874,0.041711,-0.939515,-9.267821,3.350385,1.556569,-0.418262,0
43241.97,3.02,-3.321977,0.675539,-1.573435,0.36273,2.742518,-10.535102,-0.189094,-1.234406,0.248358,-2.36205,-1.026791,3.428477,0.135022,-4.420604,-2.471229,-2.795932,9.769171,2.318315,-0.257101,1.931773,1.797633,-0.760682,-0.726155,0.917855,-0.531286,3.718475,3.756906,-0.018052,0
133456.62,86.18,-0.082468,0.650808,0.30859,1.367526,0.986892,-4.997128,-1.271157,-0.281078,-0.719531,-4.058207,-1.359924,-0.395514,1.749757,2.422025,-0.233195,-3.516866,-3.67411,-1.865104,0.927814,-2.583619,-0.251042,-1.485295,1.991157,1.244238,-3.961397,-1.30172,-2.793006,-2.648397,0
111485.86,62.76,0.287251,4.834552,-0.943532,0.481056,-1.372819,7.18817,-4.361755,0.611584,-2.21175,1.687398,-0.526499,-0.559014,3.726077,1.029511,1.257352,0.097984,-3.936801,-1.976878,-0.678621,-0.111241,-1.613336,-0.026296,-0.247258,-3.750736,3.259712,-0.727013,-2.078159,-1.724105,0
3148.73,111.89,0.884107,-5.391981,0.486985,0.673944,-2.671015,9.30181,1.65347,0.441054,-0.697569,3.156585,0.602642,0.529674,1.942076,-3.067489,-2.341997,1.763152,6.729333,1.765788,-0.722334,2.026829,1.779662,0.865403,-3.069079,5.084647,-1.355057,6.281882,-4.18854,-5.089678,0
47244.74,65.26,-0.298613,0.548162,0.284816,-0.231539,-2.033881,18.15611,-5.667171,0.755633,-2.675459,0.385792,-4.614866,-1.153626,3.6483,-0.55794,-1.889512,1.62669,1.593319,-2.233435,0.179674,-0.515655,4.139337,-0.019089,-4.190414,-3.103578,3.700685,1.637209,-4.630265,-3.535711,0
94821.2,39.75,5.328432,-3.957782,-1.506987,-1.198161,-3.029211,-12.828896,4.185621,0.446171,-0.075012,0.205623,6.849194,-1.249712,-3.413827,0.749801,-2.184937,-0.37329,8.819513,0.070603,0.654924,-0.72023,0.846374,-0.510218,0.73921,6.500263,5.949529,-5.106758,3.042735,0.412637,0
124839.73,206.04,2.386698,-2.557866,0.100703,-2.303845,2.266582,-2.242942,-6.144531,-1.335147,0.628855,1.49811,-3.533012,5.625989,-0.314621,-4.703768,0.137846,-4.650892,-0.204311,1.267616,0.273089,-2.72868,3.667648,0.842803,0.247656,2.656942,-6.435711,0.539737,0.274275,3.96952,0
109971.72,116.43,-3.865123,-0.502016,0.972052,-0.731213,0.137474,4.566422,6.199256,1.846603,1.347672,2.389467,-4.298547,-1.055927,-2.251101,-0.765018,0.901885,1.526605,-0.946534,3.122918,0.208627,0.733787,3.152892,0.840342,-0.4452,0.827776,-0.16209,-0.335464,-1.118465,1.705279,0
4956.5,1292.64,-1.798363,4.283692,2.303784,0.539094,3.236705,-0.391064,-10.605352,0.252429,-5.081996,-2.566445,-5.227269,1.536222,-1.684894,0.662963,-1.741281,-6.600879,8.627201,-1.180738,-1.061498,0.642809,2.440607,-1.593913,-6.196575,-5.412882,-4.835854,-4.720022,3.480988,5.081062,1
31352.04,107.31,12.770774,-2.823285,-0.592114,-0.809917,-1.338288,3.660375,-0.974573,0.939089,-2.243742,0.71699,3.524411,2.010843,-0.312891,1.185235,1.059904,2.573248,7.670612,5.774739,0.068651,-1.5772,2.181188,0.848874,-1.93139,0.967233,-5.147335,1.852869,-3.852572,1.823367,0
155523.22,63.72,4.306416,4.604414,0.314514,0.151673,4.014443,-15.454395,13.150488,-0.060406,4.964552,-4.232856,4.04859,0.351361,0.120094,6.361807,-3.398794,-3.787162,-12.754395,-3.507298,0.784096,-3.116118,-3.618124,0.440919,1.714759,0.058323,0.973719,-4.398295,-4.217918,-2.739828,0
109744.18,185.69,-12.22896,-2.467375,-1.547242,0.055753,-1.191516,2.912993,11.977989,0.449525,0.624224,-0.352712,1.498359,0.971965,-1.856959,2.115587,-4.34049,4.575295,-2.26684,-0.117698,1.262626,6.971196,1.531225,1.034826,-0.277688,-3.442705,18.933023,-1.338722,3.442042,-7.747833,0
167923.94,55.84,0.073972,4.352888,-0.81528,-1.413969,0.358083,-1.800759,1.34285,-0.481657,0.481293,1.184734,-1.59833,-4.027976,1.618998,3.102065,-1.036208,0.222612,-4.92414,2.191889,-0.254719,-5.645252,-3.425147,-1.122033,1.067943,-1.427593,1.606676,0.742398,-1.853785,-1.737345,0
36175.56,27.58,-7.230493,-2.875863,0.919561,0.837854,5.332418,3.846978,5.565113,-1.191294,1.663358,-3.538052,-1.392437,-1.784724,-1.394434,4.137208,-6.257518,-0.203641,-5.50132,2.504757,0.007464,0.024536,-4.699027,-0.289737,-0.882913,-1.439974,-9.05787,2.208628,-3.235878,0.953331,0
170417.22,81.78,11.855563,-0.690884,-1.496095,-3.495045,-3.963017,-2.549176,-0.881316,1.475134,-6.927103,-0.988894,1.468686,1.250072,3.852686,-3.911779,1.045453,3.727272,12.396221,5.402189,-1.016674,1.376843,3.144571,0.769387,-2.195091,1.456224,5.973711,-2.84827,0.395232,-1.108009,0
17414.44,24.52,-6.90583,1.642955,0.889749,0.513637,-2.360006,-5.413852,4.594328,-0.200176,-1.424438,-0.482558,1.838962,-3.409223,0.596057,-1.026608,-3.081628,2.195736,1.376127,2.562358,1.726456,0.063714,-6.13926,0.264022,6.358485,0.692439,0.9602,1.017162,0.120111,0.946445,0
153288.53,29.08,4.086333,-0.57905,-1.33338,1.696452,-1.142581,2.139548,-9.054318,-0.652014,-6.2451,-4.395885,-1.830701,1.027338,2.734097,0.590083,0.626818,-2.625983,2.125306,-1.781693,0.046886,-0.401944,1.292923,0.630306,2.530142,0.693343,-8.01436,-1.043471,-4.128909,1.613602,0
48380.39,118.02,-0.13333,-2.890777,-0.78349,-0.892991,1.546087,-4.749737,-3.930179,0.597949,-5.265925,-3.758625,0.683727,3.292218,0.396746,1.925664,-1.949319,-4.835117,0.844637,-0.698021,-0.642808,1.029169,0.147219,-0.067798,3.196904,5.256342,-8.040565,-1.815366,-1.981959,-0.408427,0
109451.67,29.16,-5.94182,-0.876649,1.761403,0.028907,0.074922,-15.473398,5.506235,0.319127,-2.668389,-3.336753,2.705844,2.030058,-2.090418,-2.043388,2.235087,-2.068019,0.932272,0.621652,0.780214,3.381377,-1.424823,1.311993,6.932587,4.300389,-0.896202,-3.363881,2.810032,-1.09913,0
4584.76,124.24,2.532812,0.6019,-0.126162,0.419768,-5.723097,6.51785,-0.406916,0.490842,-0.047137,0.161569,-1.313839,-2.615636,-0.673203,0.065981,-5.267071,1.282911,10.743188,-3.140245,-0.002527,-1.609818,6.801198,-0.836669,-1.228139,1.27665,8.915476,0.734284,-2.843671,-0.024933,0
56217.08,53.55,3.984566,-2.510209,-0.39133,-0.246274,-3.589677,6.57495,-6.462966,0.424291,-5.651119,1.759723,1.433167,-0.030626,-1.03519,-0.818888,1.704368,-1.999427,4.507633,-0.543333,-2.990601,2.049507,0.651334,-1.897377,0.484607,3.279961,-4.982905,-1.968169,-2.119503,2.053094,0
72506.89,22.44,-0.839278,1.145665,1.089368,0.69597,2.611871,-20.512165,16.429297,0.945667,-0.252225,-0.327828,1.947842,0.704897,2.074902,0.568911,-1.694614,-1.139982,-9.490379,4.267855,0.054304,-1.743632,-2.712747,0.352928,6.578295,5.171281,2.049573,-4.240602,-1.861007,-3.93124,0
90328.23,68.71,1.752342,-1.110418,-0.295666,0.383567,-0.924965,1.905655,2.420916,-0.42577,-3.146676,1.991014,1.017254,-4.617864,-0.067115,0.359011,1.406739,3.067573,7.546614,3.920113,-0.897293,1.44098,4.537453,1.039632,-0.091502,0.304299,-2.260474,2.875644,0.297171,-1.733316,0
4380.61,160.88,2.117186,1.02495,1.023681,-1.123883,1.143772,3.337939,5.115355,-1.059588,0.317368,6.288275,1.730228,4.531153,-7.176547,-2.910192,3.110111,1.400425,6.583157,2.215498,0.116233,-2.057511,5.741481,0.547706,0.021996,4.574738,1.292684,6.6133,-1.849822,-1.254814,0
5388.45,303.9,5.821793,4.071175,-0.820448,0.539112,-3.324599,2.191942,-4.401057,-1.005739,0.485969,-0.624686,1.659632,-1.550733,1.450173,-0.34572,-3.509984,0.186007,6.55108,-2.876447,0.486353,-2.787444,-0.954857,-0.67588,-2.748275,-2.520482,6.973822,-0.812271,-0.995355,1.441828,0
14748.04,87.04,-10.527622,4.133257,-0.648274,0.476584,1.119864,-6.075387,-2.67869,0.638585,-2.202754,0.562231,-1.241921,1.003174,-1.779657,-0.917066,-3.956883,-4.127764,7.72758,-1.447261,-1.300712,2.967953,1.098174,0.907343,-0.371833,-1.527639,10.341086,1.487119,5.814758,-2.088103,0
112313.77,137.91,-4.429536,0.264203,-0.57976,-0.803192,-0.354617,10.615227,-4.777485,-0.9565,-4.53996,3.344052,-3.855333,-2.552311,0.00439,3.161532,-1.369183,-0.592999,4.814286,5.894622,0.848661,-1.384933,0.644728,0.772623,-0.557209,-1.058698,-3.861864,6.5996,-3.684124,-1.925503,0
73476.89,117.66,-5.423831,4.723617,1.100392,-1.823493,3.187941,1.066515,-10.703655,-0.284931,-4.733638,0.82721,-2.958994,3.87456,-1.702398,1.991641,-1.559245,-3.89135,3.071668,0.892066,-0.994717,-0.234741,-3.093333,-1.250429,-1.522323,-2.811763,3.792386,2.680096,3.324818,0.978892,0
48140.41,59.53,-2.133118,-2.075378,-0.79974,-0.370981,-3.220009,-3.838227,2.901166,1.523946,-0.568111,-0.462412,-1.151386,0.538402,0.407153,-1.043006,-3.591145,0.673487,-0.614464,-1.031934,-0.853528,0.045223,3.496244,-0.723789,3.10884,1.42676,10.439939,-1.990316,1.72701,-2.609994,0
14057.07,53.64,2.40338,1.802463,1.951986,0.221642,-4.2923,-17.474444,10.187844,1.088105,2.503545,1.061194,8.268183,-0.669669,-4.159115,0.921468,-2.150882,-2.396794,2.561352,-1.764839,1.458543,-0.300427,-1.830446,-0.876937,5.526057,4.100208,8.152634,-5.346761,0.771012,1.3892,0
62621.67,132.77,0.569212,-0.676396,0.737607,1.980196,0.083808,-0.246077,-1.009974,1.102527,1.142879,0.408418,0.864952,3.626649,-3.617353,0.514992,-4.00504,1.005634,3.75526,1.675992,-0.492603,-3.126365,-3.178846,0.170784,-3.007998,-1.282164,10.562429,0.229536,1.387332,1.464266,0
88817.38,55.88,-0.755383,-3.859063,-0.761419,-0.478505,-1.3309,3.566466,1.451922,0.028085,-0.05795,0.320887,-2.453523,1.750375,1.906753,-2.496655,-1.140653,2.003779,0.395665,1.423234,0.518881,2.584649,-1.294978,0.810051,-1.612054,3.725386,0.118257,2.007358,-0.718904,-1.094176,0
38356.79,178.27,-0.739513,3.986825,-0.16395,0.327569,-0.237852,-8.368137,1.259459,0.442407,-1.000083,-3.508857,-0.183133,-3.764479,3.106853,2.407323,1.089422,0.844394,-5.064423,-0.412834,-0.765584,-1.744336,-4.925433,-1.489936,3.773197,-1.750962,0.455024,-2.543492,0.296947,-0.561311,0
171081.31,17.84,-11.515577,5.215474,-0.108622,-0.522502,-2.870011,-8.305277,-4.290499,-0.197037,-2.581046,-0.132819,0.319112,-0.346132,0.821342,4.737689,-2.572931,-1.202817,6.546725,-3.215012,-0.402096,5.527807,-0.66667,-0.212407,1.682049,-0.983289,18.207111,-0.583296,8.99522,-4.55121,0
85037.7,94.7,0.388127,-0.047389,-0.712429,0.62491,-2.059844,6.64165,-13.162033,0.269317,-5.773955,1.399731,-4.709503,-3.78841,5.564753,3.034537,-0.194375,-0.657473,1.36043,0.424087,0.253593,-2.64161,1.888309,-2.319398,1.22937,1.544701,-3.800448,-0.36829,-0.423489,0.308441,0
63307.33,54.2,-3.875181,-5.544356,-1.428857,0.157694,1.716817,7.590723,2.851751,0.474042,2.850427,1.864647,0.174703,4.635775,-3.907903,-1.369167,0.921721,-1.87968,4.252494,2.993976,0.164639,4.792716,6.018223,-0.450123,-2.111626,1.597329,-8.707857,4.725966,-1.627119,-0.346232,0
104983.75,42.95,-1.191086,1.842769,-1.222479,0.527697,0.264047,1.71463,-5.183885,1.881802,-1.808623,1.055696,0.58502,0.808489,1.927896,1.342514,-2.174121,-3.157789,-1.525676,-1.401798,-1.947824,-0.070023,-3.981945,1.510693,0.063009,1.033312,-2.100151,-0.173414,-1.177038,0.307033,0
47844.46,136.9,8.025393,2.407784,1.843387,-0.927635,-3.925133,5.273371,-1.349122,-1.142283,-4.492125,2.312675,-0.270988,-1.690217,3.459033,4.952583,-2.001728,-0.131654,2.386362,2.298695,0.592317,0.212729,2.43656,-0.268408,-0.397627,1.124676,1.210804,-3.544863,-4.507635,1.47376,0
3557.0,135.52,-8.542116,1.854042,1.587693,-0.38422,-1.666196,-4.545021,-0.622523,0.196453,0.330914,2.695437,-1.524975,0.556738,-1.154347,4.47471,-2.728481,0.894317,0.251776,2.966806,-0.153442,-0.510622,-2.911896,-1.086924,1.521117,-1.453018,14.950973,-1.324442,5.159574,-0.05225,0
98203.73,142.55,0.587532,1.321601,-0.572608,0.856692,-3.286288,-4.353729,-5.236919,-0.840252,-6.371188,-2.516396,4.125435,3.699828,0.526055,3.398699,-1.788183,-0.859318,13.354352,-1.68678,-0.744665,5.961152,7.011755,1.796044,1.005984,0.229857,11.841379,2.991805,4.973781,-8.348596,0
138733.08,55.67,1.933214,1.594841,2.867107,0.378851,-3.200455,5.918568,-8.410548,-0.115071,-5.852719,-1.123376,-1.743413,-0.691267,4.443624,-4.185376,5.907658,3.199888,6.679869,0.267193,0.257815,1.70318,1.786207,0.147142,-1.914131,-2.157766,4.390981,-0.554928,2.080807,-4.200124,0
133054.89,24.1,5.972257,-0.12087,0.083982,0.073639,-0.949223,1.294477,-6.214757,-0.040244,-3.482981,-0.943616,-0.117965,0.738388,1.544926,1.138722,0.182703,1.576532,5.358229,0.797901,1.118169,-0.216298,-0.701288,-0.784442,-2.046531,1.239256,0.643385,1.042202,0.843421,0.372011,0
103317.12,81.21,-1.767415,2.08687,0.18567,-0.039361,0.817917,2.458277,-2.576747,0.317652,2.917745,-0.586725,-1.766493,-0.998781,2.114314,2.232428,-5.804907,-3.772137,-3.354324,-5.745079,-0.412515,-3.679723,0.033178,0.012944,-1.964085,0.300764,2.234169,-0.474815,-2.941733,-1.45753,0
39509.48,120.88,-13.178179,1.669049,1.184756,0.051972,2.479864,-8.876582,5.822652,-0.534843,3.562608,-2.939597,0.509694,1.030381,-2.709438,-1.469043,-5.087647,-3.999223,-3.185488,-1.867185,-0.327788,-2.738697,-4.572582,0.013145,5.181272,1.095665,0.422821,1.400441,-1.045923,-1.863976,0
27787.63,234.45,10.730661,-2.681667,0.600433,-1.304786,1.241353,1.778878,5.540474,-0.74699,-5.609556,-1.114282,0.77127,-0.140246,2.708376,3.1334,-2.800696,1.650432,-4.019962,5.093536,1.216052,-0.551096,-1.86962,1.03113,-2.281867,1.654447,-2.925421,-3.587141,-5.7497,-1.024926,0
20845.88,199.76,-6.983331,-1.114331,-0.852888,-0.816136,-4.742606,0.978956,-5.113242,-1.704915,-4.227327,-0.495857,-2.800363,-0.49652,0.875342,1.194615,-3.71212,-3.589856,9.456278,-0.313621,-0.606635,0.380144,5.705599,-1.225308,6.54488,6.651399,-3.25993,1.305579,-2.914752,-0.11392,0
87715.07,59.61,2.969462,1.664115,1.058403,-0.442226,-2.566621,1.020769,-0.761926,-0.758523,-4.102534,0.39134,3.88935,-0.745465,-0.782922,3.797304,-2.47045,3.973746,6.063516,-0.403695,0.307553,-0.01416,-2.289279,0.45015,-2.157599,-0.806847,14.689047,0.594776,1.979722,-4.516394,0
104677.89,139.45,10.649459,1.424784,-0.471845,0.277554,-4.410071,-4.020321,-9.955133,0.22303,-0.106076,0.059768,1.666584,5.688586,-2.089398,0.96637,-3.322752,-0.240237,8.6717,1.130812,-0.050918,-5.906694,-4.379955,0.329626,-3.755062,0.795399,15.332575,2.398905,2.983501,-0.327776,0
26825.51,129.84,-6.495792,1.39154,-0.60458,0.863842,0.326617,-1.523812,-1.969887,0.471812,-3.076531,-0.473966,1.705021,1.669031,-1.367278,2.500966,-3.968242,-1.145619,5.1307,-4.019277,-0.374784,3.466011,0.370565,-0.856613,-0.869612,0.556039,11.186049,-1.132471,3.736837,-2.825073,0
133443.9,109.47,1.102613,-2.34301,0.966705,1.506296,-2.183303,9.486759,2.293654,0.057975,-0.733952,2.336423,-0.013565,-0.658004,1.201316,1.787942,-0.049104,2.361486,4.161617,4.462176,-1.600683,4.155231,1.013428,-1.548088,-4.593319,-0.957131,1.256076,0.338472,-1.974935,-1.19284,0
116069.88,207.17,8.690689,-4.255918,0.838871,-1.166713,-1.904039,6.538743,-6.655185,-0.47691,-1.261167,-0.714117,-0.553884,-0.173187,2.149823,1.905793,0.536578,2.927005,3.99229,3.989711,0.336339,-0.554235,0.634769,1.236849,-4.382721,-2.479557,-1.112943,-0.383064,0.047349,2.138719,0
130559.24,262.02,-0.574198,-2.67585,-0.072405,1.006378,-3.396034,4.259771,7.257876,-0.380697,-0.356379,1.448672,-0.982086,-2.658716,-1.611102,0.842856,-2.004954,3.397871,2.621069,1.642438,-0.724221,-0.06689,4.95393,0.690782,-0.014063,2.301457,7.427385,1.006772,-1.525083,-4.61058,0
32507.34,123.84,-1.580721,1.801915,-0.12193,-0.111113,2.984662,5.081419,-5.698096,-1.271454,-4.115993,1.765099,-0.715757,1.660535,0.009551,0.844361,-0.275461,-1.876356,4.015717,-1.217097,0.336123,2.293826,1.518856,-0.315158,-3.438199,-0.478967,-0.140065,-0.201715,0.803425,0.797828,0
23989.34,162.88,6.258118,3.473653,1.480492,0.640746,-1.422354,-4.111145,11.199028,-1.054199,1.145306,1.495108,1.746451,-4.031567,3.913286,4.02165,-3.006074,2.156691,-4.386357,2.800545,-1.773239,2.238718,-3.360143,-0.325463,-1.8283,0.607199,3.684471,-3.793396,-1.665475,-0.27898,0
52078.1,90.08,4.542802,0.637545,0.586429,0.397434,1.980403,-7.076727,2.596095,-0.313369,3.891619,-2.1896,2.940891,0.418431,0.099099,1.173626,-1.823307,-1.606997,-0.236139,-3.570445,0.357821,-2.962461,0.327296,-0.994651,-3.19705,0.24331,3.766651,-0.046792,-0.142796,-3.887608,0
142145.38,82.75,-1.728886,-1.325051,-0.799136,0.35275,-2.662958,2.272906,-2.349113,1.323762,-1.217131,3.150381,3.001942,4.503236,-1.322331,3.102866,1.848696,0.628528,1.374334,-1.945682,-0.836956,3.736082,4.129352,-0.187609,2.475135,2.273125,6.774905,0.348375,2.275362,-2.549498,0
102095.99,72.54,-0.760729,2.887332,0.069907,0.557863,-0.414292,-15.319455,-5.117811,-0.231918,0.053452,-3.619863,-0.435833,3.453543,-0.073482,-1.076252,-3.498134,-2.060256,9.775022,0.825893,0.953695,-0.161035,-1.838767,-2.225378,-0.899956,-0.18709,11.45995,1.624833,8.154332,-0.917199,0
101406.15,73.95,-4.216449,2.952427,1.231301,0.705957,1.394935,-8.668628,-0.794304,1.540022,-0.880043,-4.017357,1.180645,-0.109093,0.963277,1.965451,-2.588895,-1.584362,1.31851,3.03854,-1.569397,-2.536113,-6.596011,-0.6763,3.809396,-0.618466,-3.305571,2.362333,-0.353265,-0.728906,0
76058.35,53.54,2.774951,-2.260009,-0.566666,-0.709191,-2.476221,16.395003,-15.814014,-0.103008,-5.334689,2.256313,-1.757015,-2.19796,1.781904,0.66489,3.773208,0.067048,3.250919,-2.647343,-1.012975,0.34697,1.204528,0.150853,-4.131657,-0.865502,-3.160516,-0.181792,-0.082348,-0.094646,0
26248.79,33.04,2.984313,-2.665712,1.473879,-0.002097,-4.983794,-0.661731,0.583962,0.44088,0.212643,-2.360392,-0.102707,1.748073,1.624403,-2.879066,-2.570496,1.423402,6.033156,-0.659731,-0.940332,3.638168,2.635026,-1.229318,-3.195205,0.442206,12.000015,1.128072,3.173532,-6.129249,0
55806.88,63.41,-2.036878,1.814009,-0.83548,-2.671062,-0.986431,-8.236583,-8.205305,0.221758,4.286541,0.44811,3.431442,-2.914213,-1.717603,0.145246,3.323558,-2.510206,5.316323,-3.338005,-0.686278,-3.396256,-3.64372,2.956692,-1.018324,-0.055162,1.867074,0.937872,6.052448,-0.681559,0
149559.63,71.44,4.429918,2.39263,-0.483283,1.43201,-0.393802,-2.343965,-3.397599,-0.793705,0.171883,-0.006988,1.322191,1.487876,-2.725244,2.441479,4.127494,0.299199,9.630359,0.414872,-0.46852,0.700493,4.59855,-0.136619,-1.106801,1.923972,-1.042462,3.503272,2.612687,-0.140194,0
24351.71,208.18,0.473825,-1.410313,-1.323795,1.705718,-0.702944,-5.168733,-6.571085,-0.587442,-0.58695,-1.517262,5.863001,2.8944,-3.656068,-0.223696,3.049771,-6.519534,3.436097,-1.368352,1.136606,-3.056032,-3.400963,0.923097,1.695913,2.523808,-5.520519,0.141827,-1.507727,-3.15865,0
86662.02,96.35,-6.139754,0.472091,-1.859815,0.706407,2.170235,-18.721297,-0.231783,0.67551,7.426792,-4.960942,9.021427,0.77648,-4.259002,-4.113472,1.337993,-1.630407,6.707709,-5.608534,0.576251,-3.113194,-6.318551,-0.246574,0.086945,-0.285568,5.866117,1.662405,8.000353,-4.719929,0
