customer_id,age,gender,location,signup_date,tenure_days,plan_type,monthly_price,payment_method,logins_last_7d,logins_last_30d,logins_last_90d,avg_session_duration,total_watch_time_30d,unique_content_30d,days_since_last_login,support_tickets_30d,satisfaction_score,app_rating,social_connections,feature_adoption_rate,payment_failures_6m,plan_changes_12m,billing_disputes,auto_renew_enabled,days_until_renewal,login_frequency_trend,engagement_score,high_support_flag,payment_issue_flag,low_engagement_flag,churn_probability_true,churned,data_date
CUST_000064,43,M,Philadelphia,2024-01-09,706,Premium,19.99,Debit Card,2,3,9,24.5,20.7,20,0,0,2.7,4.2,16,0.43,0,0,0,1,12,0.5,0.32,0,0,1,0.588,0,2025-12-15
CUST_000065,28,F,Los Angeles,2024-11-02,408,Premium,19.99,PayPal,0,6,14,8.8,49.0,17,2,0,4.5,4.2,11,0.49,0,0,0,1,26,0.0,0.52,0,0,0,0.513,0,2025-12-15
CUST_000066,29,M,San Antonio,2025-10-25,51,Premium,19.99,Credit Card,1,11,40,38.7,23.2,9,2,0,5.0,3.8,11,0.52,0,0,0,1,25,0.083,0.389,0,0,0,0.512,0,2025-12-15
CUST_000067,47,M,San Jose,2025-09-11,95,Standard,14.99,Bank Transfer,0,4,11,5.0,32.7,12,0,1,2.4,1.9,3,0.3,1,0,0,0,30,0.0,0.344,0,1,1,0.927,1,2025-12-15
CUST_000068,30,F,Dallas,2025-02-05,313,Basic,9.99,Credit Card,2,5,21,16.9,29.3,15,1,0,4.9,4.5,15,0.53,0,0,0,1,25,0.333,0.392,0,0,0,0.538,0,2025-12-15
CUST_000069,30,F,San Antonio,2025-04-04,255,Basic,9.99,Debit Card,0,1,3,17.9,9.3,12,1,2,2.4,3.8,4,0.37,1,2,0,0,10,0.0,0.188,0,1,1,0.868,1,2025-12-15
CUST_000070,48,M,Phoenix,2025-11-15,30,Premium,19.99,Debit Card,2,12,41,12.3,14.4,19,4,1,4.0,4.4,12,0.54,0,0,0,1,12,0.154,0.39,0,0,0,0.406,0,2025-12-15
CUST_000071,54,M,Houston,2025-11-15,30,Standard,14.99,Debit Card,1,11,40,14.9,39.1,27,1,0,3.8,4.9,11,0.42,0,1,0,1,11,0.083,0.537,0,0,0,0.415,0,2025-12-15
CUST_000072,42,F,San Diego,2025-07-27,141,Basic,9.99,Credit Card,2,12,37,29.2,41.7,21,3,0,4.0,3.0,12,0.52,0,0,0,1,30,0.154,0.558,0,0,0,0.387,0,2025-12-15
CUST_000073,27,M,Philadelphia,2025-11-15,30,Standard,14.99,Debit Card,0,3,16,5.4,16.8,6,19,7,2.4,3.2,3,0.26,0,2,0,0,7,0.0,0.207,1,0,1,0.681,0,2025-12-15
CUST_000074,28,F,Phoenix,2025-02-05,313,Basic,9.99,Debit Card,1,2,27,27.1,19.1,23,4,2,3.9,4.2,14,0.61,0,0,0,1,14,0.333,0.349,0,0,1,0.516,0,2025-12-15
CUST_000075,35,F,San Antonio,2025-10-24,52,Basic,9.99,Debit Card,2,17,33,8.8,37.7,21,3,1,3.8,4.9,9,0.59,0,0,0,1,14,0.111,0.598,0,0,0,0.42,0,2025-12-15
CUST_000076,38,M,Chicago,2025-11-08,37,Basic,9.99,Credit Card,5,14,44,13.6,18.9,32,0,1,3.7,5.0,7,0.64,0,0,0,1,30,0.333,0.509,0,0,0,0.456,0,2025-12-15
CUST_000077,23,M,Dallas,2025-11-09,36,Premium,19.99,PayPal,4,18,48,5.0,34.0,27,1,0,4.8,5.0,9,0.73,0,0,0,1,9,0.211,0.638,0,0,0,0.373,0,2025-12-15
CUST_000078,43,F,Houston,2025-11-15,30,Basic,9.99,Bank Transfer,0,6,17,28.8,13.7,14,1,0,1.1,2.9,0,0.25,0,0,1,0,30,0.0,0.248,0,0,0,0.706,1,2025-12-15
CUST_000079,36,M,Houston,2025-06-14,184,Premium,19.99,PayPal,3,3,27,10.3,15.0,10,0,2,5.0,3.2,13,0.47,0,2,0,1,10,0.75,0.254,0,0,1,0.638,0,2025-12-15
CUST_000080,18,M,San Diego,2025-11-13,32,Basic,9.99,Credit Card,0,2,6,18.8,12.4,8,2,2,3.4,3.7,4,0.27,1,1,0,0,16,0.0,0.18,0,1,1,0.832,1,2025-12-15
CUST_000081,23,M,Philadelphia,2025-10-29,47,Basic,9.99,PayPal,3,10,36,72.7,21.1,18,3,0,4.5,4.7,12,0.22,0,0,0,1,27,0.273,0.343,0,0,0,0.406,0,2025-12-15
CUST_000082,28,M,New York,2025-04-09,250,Basic,9.99,Credit Card,0,7,21,95.6,9.0,18,1,0,2.7,4.1,10,0.28,0,0,0,1,4,0.0,0.252,0,0,0,0.498,0,2025-12-15
CUST_000083,34,M,Los Angeles,2025-11-15,30,Basic,9.99,PayPal,2,9,45,11.6,29.7,19,1,0,3.6,3.4,20,0.6,1,0,0,1,10,0.2,0.464,0,1,0,0.751,1,2025-12-15
CUST_000084,57,F,Dallas,2025-11-05,40,Basic,9.99,Credit Card,1,6,16,23.4,45.5,4,18,2,5.0,2.6,2,0.15,1,0,0,0,16,0.143,0.379,0,1,0,0.814,1,2025-12-15
CUST_000085,37,F,Philadelphia,2025-11-15,30,Standard,14.99,Credit Card,2,19,42,10.5,47.1,17,0,0,4.6,4.2,7,0.4,0,0,0,1,5,0.1,0.621,0,0,0,0.296,0,2025-12-15
CUST_000086,24,F,San Antonio,2025-11-15,30,Basic,9.99,Credit Card,2,11,60,17.3,40.0,22,1,1,2.4,4.9,11,0.12,0,0,0,1,11,0.167,0.462,0,0,0,0.611,0,2025-12-15
CUST_000087,37,F,Dallas,2025-07-29,139,Basic,9.99,Credit Card,3,11,35,14.8,15.4,18,2,0,3.6,3.9,20,0.33,0,0,0,1,15,0.25,0.34,0,0,0,0.417,0,2025-12-15
CUST_000088,30,M,Chicago,2025-11-08,37,Basic,9.99,Debit Card,3,17,42,33.6,29.9,23,0,1,3.5,4.7,9,0.42,0,0,0,0,23,0.167,0.525,0,0,0,0.431,0,2025-12-15
CUST_000089,38,M,Phoenix,2025-06-18,180,Basic,9.99,Debit Card,2,8,34,38.7,50.8,22,1,0,5.0,4.0,15,0.63,0,0,0,1,12,0.222,0.599,0,0,0,0.424,0,2025-12-15
CUST_000090,41,F,Phoenix,2025-08-12,125,Standard,14.99,Credit Card,2,16,35,47.7,32.2,19,0,1,4.5,4.6,18,0.43,0,0,0,1,29,0.118,0.515,0,0,0,0.413,0,2025-12-15
CUST_000091,49,F,San Jose,2025-05-31,198,Premium,19.99,Debit Card,0,2,7,7.6,9.2,8,24,4,2.2,3.4,2,0.23,1,1,1,0,17,0.0,0.153,1,1,1,0.885,1,2025-12-15
CUST_000092,34,F,San Antonio,2023-12-28,718,Premium,19.99,Bank Transfer,1,1,7,25.7,34.2,23,4,1,5.0,4.3,16,0.2,0,1,0,1,27,0.5,0.347,0,0,1,0.513,0,2025-12-15
CUST_000093,54,F,Los Angeles,2025-11-01,44,Basic,9.99,Credit Card,2,10,36,23.2,13.2,23,9,0,3.2,3.7,16,0.71,0,0,0,1,25,0.182,0.413,0,0,0,0.516,0,2025-12-15
CUST_000094,45,F,Houston,2025-06-01,197,Premium,19.99,Credit Card,3,7,27,28.0,40.1,18,3,0,4.3,4.6,12,0.43,0,1,0,0,1,0.375,0.469,0,0,0,0.579,0,2025-12-15
CUST_000095,26,M,Houston,2025-01-27,322,Standard,14.99,Credit Card,0,4,17,33.0,24.9,19,1,3,5.0,4.6,11,0.36,0,0,0,1,13,0.0,0.337,1,0,1,0.438,0,2025-12-15
CUST_000096,61,F,San Diego,2024-05-26,568,Basic,9.99,Credit Card,0,3,14,67.7,18.3,16,3,0,3.6,4.0,10,0.29,0,0,0,1,23,0.0,0.262,0,0,1,0.587,0,2025-12-15
CUST_000097,38,F,San Jose,2025-06-23,175,Standard,14.99,Credit Card,3,10,25,32.4,40.7,16,4,0,3.9,4.7,11,0.44,0,0,0,1,7,0.273,0.496,0,0,0,0.544,0,2025-12-15
CUST_000098,24,Other,Chicago,2025-11-15,30,Premium,19.99,Credit Card,2,14,38,7.5,38.1,24,1,1,4.6,4.9,10,0.27,0,1,0,1,10,0.133,0.519,0,0,0,0.502,0,2025-12-15
CUST_000099,54,F,Los Angeles,2025-11-15,30,Basic,9.99,Credit Card,0,2,14,10.6,7.2,7,3,3,3.8,3.4,3,0.22,0,1,0,0,17,0.0,0.135,1,0,1,0.764,1,2025-12-15
CUST_000100,59,F,Dallas,2025-10-18,58,Basic,9.99,Credit Card,2,3,13,8.2,8.5,6,11,1,1.0,3.7,3,0.29,1,1,0,0,30,0.5,0.163,0,1,1,0.969,1,2025-12-15
CUST_000101,34,F,Houston,2024-08-29,473,Standard,14.99,Debit Card,0,3,3,5.0,9.5,7,5,4,1.7,3.6,3,0.32,0,1,0,1,26,0.0,0.179,1,0,1,0.556,0,2025-12-15
CUST_000102,28,F,Dallas,2025-07-30,138,Basic,9.99,Credit Card,3,12,27,24.1,64.3,28,1,0,2.9,5.0,10,0.59,0,0,0,1,19,0.231,0.736,0,0,0,0.376,0,2025-12-15
CUST_000103,32,Other,Philadelphia,2025-07-13,155,Basic,9.99,Credit Card,1,8,28,48.6,38.5,20,3,3,3.9,4.3,16,0.27,0,0,0,1,1,0.111,0.445,1,0,0,0.58,0,2025-12-15
CUST_000104,43,F,New York,2025-06-29,169,Standard,14.99,Credit Card,3,6,29,28.4,58.3,18,0,0,3.8,4.5,14,0.25,0,0,0,1,16,0.429,0.532,0,0,0,0.455,0,2025-12-15
CUST_000105,50,F,Chicago,2025-10-04,72,Basic,9.99,Credit Card,3,12,44,13.1,43.4,15,0,0,3.8,3.9,9,0.61,0,1,0,0,3,0.231,0.562,0,0,0,0.351,0,2025-12-15
CUST_000106,41,M,San Antonio,2025-11-09,36,Basic,9.99,Debit Card,0,12,41,43.6,15.3,16,2,0,4.0,3.8,14,0.23,0,0,0,1,4,0.0,0.322,0,0,0,0.463,0,2025-12-15
CUST_000107,36,F,Dallas,2024-06-08,555,Standard,14.99,Debit Card,0,1,12,45.2,26.0,24,5,0,4.9,3.6,11,0.76,0,1,0,1,8,0.0,0.414,0,0,1,0.463,0,2025-12-15
CUST_000108,52,F,San Diego,2025-04-06,253,Standard,14.99,Credit Card,0,10,15,17.0,48.6,16,0,1,4.1,2.8,16,0.51,0,0,0,1,12,0.0,0.558,0,0,0,0.347,0,2025-12-15
CUST_000109,31,F,Phoenix,2025-08-09,128,Premium,19.99,Credit Card,1,4,16,19.7,27.4,27,2,0,3.4,3.4,8,0.56,0,0,0,1,9,0.2,0.424,0,0,1,0.641,0,2025-12-15
CUST_000110,47,M,San Diego,2025-09-21,85,Standard,14.99,Credit Card,0,4,18,5.0,23.6,6,4,4,3.0,2.0,0,0.14,1,1,0,1,13,0.0,0.234,1,1,1,0.891,1,2025-12-15
CUST_000111,31,F,Los Angeles,2025-08-19,118,Standard,14.99,PayPal,1,6,38,11.0,16.0,19,0,0,5.0,3.2,12,0.52,0,0,0,1,13,0.143,0.336,0,0,0,0.586,0,2025-12-15
CUST_000112,40,M,Chicago,2025-11-15,30,Basic,9.99,Credit Card,4,15,36,9.3,42.5,17,0,1,3.9,4.6,6,0.52,0,0,0,1,9,0.25,0.577,0,0,0,0.511,0,2025-12-15
CUST_000113,33,F,San Diego,2025-10-25,51,Premium,19.99,Credit Card,4,10,47,10.8,44.4,13,3,0,3.5,4.8,10,0.29,0,0,0,1,11,0.364,0.476,0,0,0,0.493,0,2025-12-15
CUST_000114,34,M,Dallas,2025-10-25,51,Basic,9.99,Debit Card,2,8,31,5.0,8.7,16,5,1,5.0,3.2,13,0.61,0,0,0,1,17,0.222,0.318,0,0,0,0.423,0,2025-12-15
CUST_000115,30,F,San Jose,2025-08-31,106,Premium,19.99,Credit Card,7,17,27,16.2,15.9,24,1,0,4.0,4.5,11,0.41,0,1,0,1,30,0.389,0.443,0,0,0,0.291,0,2025-12-15
CUST_000116,51,M,San Diego,2025-10-28,48,Standard,14.99,Credit Card,0,12,36,15.1,57.5,19,0,0,1.9,3.7,17,0.58,0,0,0,1,22,0.0,0.657,0,0,0,0.455,0,2025-12-15
CUST_000117,26,M,Houston,2025-11-09,36,Standard,14.99,PayPal,1,15,46,11.5,34.4,18,0,1,3.6,5.0,4,0.22,0,1,0,1,25,0.062,0.472,0,0,0,0.498,0,2025-12-15
CUST_000118,26,F,Philadelphia,2025-03-29,261,Basic,9.99,PayPal,1,8,26,32.4,32.1,20,0,1,4.1,4.5,9,0.66,0,0,0,1,27,0.111,0.485,0,0,0,0.493,0,2025-12-15
CUST_000119,60,M,Phoenix,2024-11-07,403,Premium,19.99,Debit Card,0,5,14,7.9,24.1,13,0,0,5.0,4.7,9,0.68,0,1,0,0,15,0.0,0.383,0,0,0,0.482,0,2025-12-15
CUST_000120,46,F,Houston,2025-11-15,30,Basic,9.99,Debit Card,0,11,45,5.8,11.7,15,2,0,3.8,4.5,16,0.47,0,1,0,1,21,0.0,0.334,0,0,0,0.467,0,2025-12-15
CUST_000121,18,F,Dallas,2025-11-03,42,Standard,14.99,Credit Card,1,22,38,9.7,28.1,15,0,0,4.6,3.4,10,0.41,1,0,0,1,24,0.043,0.531,0,1,0,0.559,0,2025-12-15
CUST_000122,28,Other,San Jose,2025-03-23,267,Standard,14.99,Credit Card,4,6,18,35.3,27.0,19,3,0,4.3,3.7,8,0.75,0,0,0,1,12,0.571,0.448,0,0,0,0.545,0,2025-12-15
